Movie release date,Number of movies,Ngrams and score
1951,265,"[['tom' 2.904050906038624]
 ['jerry' 2.171257871897111]
 ['bugs' 2.145707586686687]
 ['george' 1.5807001987890164]
 ['love' 1.424769989181344]
 ['sam' 1.2672529763514335]
 ['war' 1.232543854563616]
 ['man' 1.210832689336282]
 ['police' 1.176453898175684]
 ['film' 1.1749923492673535]]"
1952,250,"[['tom' 4.100367527014274]
 ['jerry' 2.6672023943815657]
 ['bugs' 1.9844527614079535]
 ['film' 1.5294438400195394]
 ['house' 1.4363486526057376]
 ['woody' 1.419476243277463]
 ['money' 1.4050498086502599]
 ['wife' 1.380223057371739]
 ['sach' 1.320595446744298]
 ['sam' 1.2813668977137378]]"
1953,288,"[['tom' 3.6645150485620417]
 ['jerry' 2.3789128609458263]
 ['father' 1.9386577935289089]
 ['new' 1.7410658151644811]
 ['man' 1.6179316932972987]
 ['bugs' 1.5904661899936714]
 ['time' 1.3481662879956782]
 ['money' 1.3459570565015775]
 ['love' 1.3147850908127148]
 ['stooges' 1.2451587809282263]]"
1954,246,"[['tom' 3.2809753260969288]
 ['jerry' 2.875168176625205]
 ['sylvester' 1.5323903663982603]
 ['new' 1.5087620701941327]
 ['bugs' 1.42361189396012]
 ['police' 1.3363689595502628]
 ['man' 1.2560018242522868]
 ['tuffy' 1.2146013597154859]
 ['love' 1.1953602012897098]
 ['american' 1.114654408921667]]"
1955,271,"[['sylvester' 2.6923366171723524]
 ['bugs' 2.160688000324618]
 ['tom' 2.1001805113094862]
 ['jerry' 1.8535965948800126]
 ['man' 1.6252082936678554]
 ['film' 1.4487523574004928]
 ['family' 1.4410188102168955]
 ['woody' 1.3979146608289033]
 ['new' 1.3124526196324655]
 ['father' 1.2844948222568322]]"
1956,286,"[['tom' 3.0643870041813783]
 ['king' 1.677936586306359]
 ['woody' 1.5588059902748042]
 ['bugs' 1.5168702699588739]
 ['town' 1.4644786248211998]
 ['jerry' 1.4466718539681516]
 ['war' 1.4295547039304872]
 ['man' 1.3696452912683361]
 ['police' 1.3606784286766767]
 ['sylvester' 1.3401795731376516]]"
1957,264,"[['tom' 2.211845673184559]
 ['spike' 1.900523961067293]
 ['jerry' 1.716457995655246]
 ['joe' 1.6849228445256559]
 ['cat' 1.5543796602807585]
 ['love' 1.4413334953480335]
 ['tony' 1.4092287032591528]
 ['father' 1.3830669075955142]
 ['daughter' 1.3577234667706373]
 ['wife' 1.337652675370108]]"
1958,251,"[['tom' 2.237039082747559]
 ['bugs' 1.8750924483289577]
 ['joe' 1.7827539792738845]
 ['young' 1.4399609840292258]
 ['man' 1.4077104591611433]
 ['men' 1.4007710982062718]
 ['woody' 1.3416486756420767]
 ['ship' 1.3022851764688192]
 ['jerry' 1.277380841873917]
 ['wife' 1.273181350217626]]"
1959,219,"[['bugs' 2.444654868634071]
 ['joe' 1.7453929104051382]
 ['town' 1.3126211316961105]
 ['john' 1.249617199776864]
 ['tony' 1.2463639222766758]
 ['wife' 1.2167445518784459]
 ['father' 1.17331154814602]
 ['film' 1.1461036388690504]
 ['new' 1.1435018703390614]
 ['life' 1.0874750067905565]]"
1960,230,"[['film' 1.558475577840502]
 ['man' 1.5534626736141195]
 ['family' 1.3445963376881307]
 ['professor' 1.2690357919033595]
 ['father' 1.2040319504773194]
 ['sam' 1.157485015862299]
 ['tom' 1.1388438013664377]
 ['mother' 1.1290624126845135]
 ['ralph' 1.1161874302142405]
 ['police' 1.1058315640310739]]"
1961,223,"[['father' 1.4395670686915387]
 ['wife' 1.2626693774797997]
 ['man' 1.172024926008456]
 ['island' 1.165747854206943]
 ['new' 1.140248215859336]
 ['paul' 1.1401981085549602]
 ['film' 1.1286905571260903]
 ['young' 1.1008844460893625]
 ['love' 1.0746824982916998]
 ['family' 1.0260331984674356]]"
1962,216,"[['man' 1.394304225068665]
 ['sam' 1.1675533086686867]
 ['young' 1.1630093671232775]
 ['time' 1.1448671996002993]
 ['father' 1.1132274635054764]
 ['wife' 1.1051128545992743]
 ['jane' 1.0464122241960578]
 ['film' 1.0246204920161357]
 ['new' 0.9960265030498644]
 ['police' 0.9319635925341261]]"
1963,194,"[['sam' 1.1844681381812479]
 ['film' 1.1010652833433434]
 ['mother' 1.0993023634755839]
 ['sylvester' 1.0760235481613392]
 ['ralph' 1.0277408245379278]
 ['home' 1.0073793707452672]
 ['young' 0.9884058884194749]
 ['dr' 0.9741013029813264]
 ['bugs' 0.9644653838644739]
 ['war' 0.9628927736977408]]"
1964,223,"[['woman' 1.5419465478019694]
 ['home' 1.3375532715642586]
 ['wife' 1.3303491633811455]
 ['man' 1.2610906085752882]
 ['mother' 1.250308079856822]
 ['film' 1.2153336653035418]
 ['daughter' 1.2129914262004358]
 ['love' 1.174192472638977]
 ['young' 1.1710414475324535]
 ['story' 1.1555838518020998]]"
1965,247,"[['panther' 2.915534815119219]
 ['man' 1.7752062497008088]
 ['pink' 1.6964821602973659]
 ['pink panther' 1.6195055000725331]
 ['daffy' 1.4884569249179664]
 ['woman' 1.3232383946134103]
 ['father' 1.2248037843775594]
 ['husband' 1.21035828798871]
 ['town' 1.2002041861746156]
 ['home' 1.1749736448260524]]"
1966,198,"[['deux' 2.105858207929902]
 ['man' 1.7198835901808152]
 ['film' 1.601316397760655]
 ['inspector' 1.4514058255516133]
 ['panther' 1.215635155781714]
 ['wife' 1.15036908928126]
 ['father' 1.1021560125590986]
 ['deux deux' 1.0776731906144048]
 ['house' 1.047317320782821]
 ['time' 1.0283703686551213]]"
1967,247,"[['panther' 2.133293420769961]
 ['pink' 2.079364761787031]
 ['man' 1.9219678893288001]
 ['wife' 1.2500626451012016]
 ['film' 1.1466988477694418]
 ['harry' 1.1079958037498296]
 ['love' 1.0744826742540294]
 ['pink panther' 1.0643894493265456]
 ['woman' 1.05076996266442]
 ['new' 1.0386178735998333]]"
1968,247,"[['panther' 2.016897607455761]
 ['film' 1.6001314231231125]
 ['pink' 1.3999464714955248]
 ['man' 1.3665350873992732]
 ['woman' 1.3374686464337298]
 ['wife' 1.275769093594297]
 ['young' 1.2521574760519099]
 ['home' 1.205246829168049]
 ['men' 1.1809667887717339]
 ['pink panther' 1.178679972695829]]"
1969,247,"[['film' 1.5890043767635544]
 ['wife' 1.3762092325073747]
 ['war' 1.3230713669194227]
 ['man' 1.2814933414798948]
 ['love' 1.26620574167879]
 ['father' 1.219639894965703]
 ['men' 1.1920751353341814]
 ['life' 1.1887351888791204]
 ['cat' 1.180018330317955]
 ['joe' 1.1679991200392859]]"
