Movie release date,Number of movies,Ngrams and score
1985,326,"[['jack' 2.418258104135581]
 ['film' 1.9568518620062243]
 ['time' 1.6853284765293437]
 ['new' 1.6263905835601964]
 ['father' 1.6234820672829096]
 ['life' 1.5054457798892544]
 ['car' 1.4547223938653637]
 ['man' 1.402427038361856]
 ['tells' 1.3776786998836004]
 ['family' 1.2816193592754708]
 ['night' 1.2719068088715386]
 ['school' 1.2664519628107909]
 ['wife' 1.256858064780109]
 ['home' 1.2326368361889903]
 ['war' 1.2137950220282259]
 ['friend' 1.2111429886229268]
 ['police' 1.211001427895012]
 ['gang' 1.2015475643499496]
 ['young' 1.17117249276175]
 ['goes' 1.168656347732145]]"
1986,338,"[['school' 2.0952581505015835]
 ['film' 1.9645604426191388]
 ['police' 1.9128820999205298]
 ['new' 1.87071700510913]
 ['house' 1.8697169794781294]
 ['jack' 1.834813376459201]
 ['father' 1.7105254505151113]
 ['life' 1.6660426373929884]
 ['david' 1.649988084040529]
 ['time' 1.5964308807470118]
 ['family' 1.5884134027616081]
 ['harry' 1.531481955696147]
 ['group' 1.530209477665587]
 ['night' 1.5088446136641334]
 ['young' 1.4139624282943177]
 ['son' 1.4010929840201]
 ['home' 1.3945360984203827]
 ['mother' 1.379192863073902]
 ['friends' 1.370895127541744]
 ['wife' 1.3378423374672792]]"
1987,373,"[['man' 2.051767996440401]
 ['school' 2.0365058413638883]
 ['family' 1.9687764343095613]
 ['film' 1.9516519725909067]
 ['new' 1.8450207415306328]
 ['car' 1.6600014976915007]
 ['father' 1.6316616395869181]
 ['life' 1.6292645760207678]
 ['time' 1.6064733919356027]
 ['home' 1.6062350491814323]
 ['mother' 1.5693467621112678]
 ['help' 1.5473319588205454]
 ['house' 1.520816647292607]
 ['town' 1.5102976608456986]
 ['old' 1.5011283373953712]
 ['soon' 1.4675437397917257]
 ['night' 1.4565299500430438]
 ['finds' 1.3978445996853222]
 ['police' 1.394788394960003]
 ['movie' 1.3910586008717596]]"
1988,398,"[['father' 2.5809471858790194]
 ['new' 2.44527624299832]
 ['jack' 2.361300637818597]
 ['film' 2.3367691693706374]
 ['house' 2.1036661169374806]
 ['family' 1.9452312069716606]
 ['life' 1.9104956408119191]
 ['mother' 1.883171184142202]
 ['school' 1.8395496195432166]
 ['town' 1.817748569606505]
 ['man' 1.7691754145342946]
 ['young' 1.7465960238838811]
 ['time' 1.7400517083031302]
 ['later' 1.6807842636645862]
 ['charlie' 1.6520519545789754]
 ['home' 1.6216071518441688]
 ['angela' 1.5937171463857562]
 ['police' 1.5909394672399648]
 ['frank' 1.5708961841665599]
 ['finds' 1.564197828990299]]"
1989,384,"[['film' 2.4917331774203975]
 ['new' 2.436278466832249]
 ['father' 2.153074734104991]
 ['family' 2.0912259868309344]
 ['man' 1.862198947972483]
 ['police' 1.8351619551151388]
 ['life' 1.7898247579455333]
 ['school' 1.7685411384738217]
 ['ray' 1.6999160633301111]
 ['nick' 1.6689489452878032]
 ['time' 1.651567199148723]
 ['home' 1.5830439665200677]
 ['alex' 1.5433890842647733]
 ['frank' 1.5070690285809123]
 ['house' 1.4926330512893677]
 ['wife' 1.4818491703068657]
 ['young' 1.4754828461944547]
 ['dr' 1.4551361567443861]
 ['night' 1.4550642391381698]
 ['help' 1.4146734106529908]]"
1990,383,"[['family' 2.3650992784851335]
 ['new' 2.2512175214237566]
 ['life' 2.129050666741816]
 ['house' 1.987503655910821]
 ['man' 1.962678159553528]
 ['father' 1.9604301752704005]
 ['mother' 1.9486615723001575]
 ['young' 1.838125783407681]
 ['film' 1.7979769897188598]
 ['school' 1.7845053501360901]
 ['time' 1.7385747803510987]
 ['wife' 1.6946686227530037]
 ['police' 1.6509514357179724]
 ['jack' 1.630987961923993]
 ['goes' 1.6231963774079372]
 ['billy' 1.5770746881637803]
 ['love' 1.5744084090974992]
 ['car' 1.5573345507632443]
 ['son' 1.5417891914974566]
 ['home' 1.5296772779389727]]"
1991,382,"[['father' 2.3721748791937904]
 ['film' 2.2271542701248044]
 ['new' 2.2234350765586623]
 ['wife' 2.088264930162174]
 ['family' 1.986146491962219]
 ['jack' 1.9427477692643442]
 ['man' 1.8919602813704335]
 ['frank' 1.8889712042040858]
 ['home' 1.8323417080685915]
 ['life' 1.811883864403745]
 ['ben' 1.7505926570073813]
 ['joe' 1.693457778951481]
 ['tells' 1.6718103932549893]
 ['billy' 1.6092838914425465]
 ['mother' 1.585723539376193]
 ['time' 1.5811105707136441]
 ['peter' 1.5646939858141575]
 ['finds' 1.5636574420315306]
 ['house' 1.5511488594032068]
 ['town' 1.5433072217384316]]"
1992,379,"[['family' 2.7412443009855036]
 ['film' 2.3351295222117754]
 ['father' 2.1785981238956866]
 ['new' 2.1694628134007004]
 ['house' 1.986768211664783]
 ['jack' 1.843452048360863]
 ['man' 1.8078693270863775]
 ['home' 1.7440770484644106]
 ['police' 1.7146641265047626]
 ['tells' 1.7106312070151684]
 ['time' 1.694437571377616]
 ['life' 1.6185344957271897]
 ['john' 1.5183138174722743]
 ['mother' 1.4757738331129568]
 ['help' 1.4699128433843678]
 ['old' 1.4697103141760341]
 ['money' 1.4683558734615207]
 ['later' 1.3865550138805696]
 ['finds' 1.372764556632431]
 ['friends' 1.3607931254113381]]"
1993,397,"[['film' 2.4661057108144693]
 ['home' 2.449237940754476]
 ['max' 2.391992650441069]
 ['family' 2.2612680283940967]
 ['father' 2.2544049045226617]
 ['john' 2.2307853812129164]
 ['man' 2.2299233124882853]
 ['new' 2.227434770503196]
 ['jack' 2.0836469268902604]
 ['sam' 2.049418230956365]
 ['police' 2.029541895398031]
 ['time' 1.9972305325340332]
 ['mother' 1.9831093785281955]
 ['life' 1.9588180317411839]
 ['wife' 1.8679161727740623]
 ['house' 1.8220937568414848]
 ['later' 1.6991198656312865]
 ['car' 1.6358384183233774]
 ['town' 1.5940269789530959]
 ['death' 1.5809618911388668]]"
1994,459,"[['new' 3.044596770450508]
 ['film' 2.8785354511979406]
 ['life' 2.4747714426527354]
 ['home' 2.4425684932683156]
 ['father' 2.4377095716191524]
 ['mother' 2.3565251148722934]
 ['family' 2.281912658542466]
 ['man' 2.2789079812850264]
 ['woman' 2.1807095862623735]
 ['police' 2.1410828976720486]
 ['money' 2.0929352355008852]
 ['jack' 2.0854460685725593]
 ['michael' 2.040723035589922]
 ['time' 2.0321077321037166]
 ['love' 1.9478105288725138]
 ['tells' 1.8989763713988115]
 ['soon' 1.8885147292741697]
 ['later' 1.8758857694528446]
 ['billy' 1.8747421249930425]
 ['young' 1.7913180537442175]]"
1995,458,"[['jack' 3.1307953494576153]
 ['family' 2.4137187767022152]
 ['father' 2.3929117173771686]
 ['mother' 2.2985057514682543]
 ['life' 2.246527086140061]
 ['film' 2.211708274947791]
 ['john' 2.127981536119948]
 ['new' 2.1044196177197283]
 ['man' 2.0388062515710366]
 ['home' 1.9894710078480489]
 ['tells' 1.8927460192021877]
 ['time' 1.8638549785164078]
 ['wife' 1.8376867885494415]
 ['police' 1.8229147370765288]
 ['max' 1.7795177807288203]
 ['house' 1.7673656190113332]
 ['school' 1.7065699022954708]
 ['later' 1.6609404337918154]
 ['finds' 1.6374417320937822]
 ['town' 1.6335856641769957]]"
1996,490,"[['film' 2.726805787208]
 ['john' 2.673803204188372]
 ['new' 2.6350614995122252]
 ['house' 2.5653523262423055]
 ['family' 2.525742299452308]
 ['david' 2.4990306737849854]
 ['father' 2.4962522919091894]
 ['life' 2.370457310878288]
 ['jack' 2.261550258334062]
 ['school' 2.250146307675605]
 ['man' 2.2476669599246835]
 ['time' 2.1267871018442817]
 ['mother' 2.051273915008186]
 ['wife' 2.006537833431962]
 ['tells' 1.9908089831142404]
 ['later' 1.9347122410150908]
 ['home' 1.896897087614671]
 ['finds' 1.8935799484972633]
 ['friends' 1.8920648811693546]
 ['help' 1.8841272620881286]]"
1997,507,"[['film' 2.855467912066969]
 ['family' 2.693193360436999]
 ['life' 2.6246455163105464]
 ['father' 2.6228099223011876]
 ['alex' 2.587949692332233]
 ['new' 2.4877903218834363]
 ['house' 2.453741952011335]
 ['time' 2.3927487993206307]
 ['harry' 2.286032964027489]
 ['man' 2.254730002746377]
 ['home' 2.220203083366281]
 ['tells' 2.092327816095134]
 ['mother' 2.0833140613054777]
 ['wife' 2.0491511612588957]
 ['story' 1.9787721549748054]
 ['town' 1.9633036586491441]
 ['finds' 1.9377372267531197]
 ['way' 1.9298379466367883]
 ['son' 1.8794691629103664]
 ['help' 1.8663307193397158]]"
1998,551,"[['max' 2.877561649710976]
 ['man' 2.8623288433103515]
 ['film' 2.834795490438172]
 ['new' 2.8049603813243125]
 ['father' 2.644722226534704]
 ['time' 2.6030384918494756]
 ['family' 2.5383115940957772]
 ['mother' 2.388885147012268]
 ['tells' 2.36844229283667]
 ['life' 2.2637383970165503]
 ['school' 2.1966679274895395]
 ['later' 2.1425055396019568]
 ['home' 2.1351681775749807]
 ['town' 2.1340359006192413]
 ['group' 2.030042949970722]
 ['named' 2.0294298381319216]
 ['friend' 2.006530723219238]
 ['love' 1.9949828435791976]
 ['goes' 1.958311305994247]
 ['finds' 1.9240220397438381]]"
1999,562,"[['film' 2.9894833055731436]
 ['father' 2.73511792924717]
 ['new' 2.7017091041011403]
 ['life' 2.4894605707444892]
 ['school' 2.4428543830446237]
 ['man' 2.4061756943533137]
 ['family' 2.3946374764808485]
 ['wife' 2.274494250994063]
 ['time' 2.2524914581314412]
 ['young' 2.2273952447488288]
 ['mother' 2.219769187447917]
 ['tells' 2.0715642890105954]
 ['friend' 1.9963421496364024]
 ['finds' 1.9821654455871895]
 ['town' 1.971181498538246]
 ['home' 1.9558628856096612]
 ['help' 1.9544158675585495]
 ['love' 1.9296298828216631]
 ['house' 1.9227971077156214]
 ['later' 1.8525573568031888]]"
2000,583,"[['new' 3.0509778147177715]
 ['film' 2.943114346400618]
 ['life' 2.8423311859027436]
 ['school' 2.6843522738193304]
 ['man' 2.6006668877690933]
 ['father' 2.5308085919273724]
 ['family' 2.458553945669988]
 ['mother' 2.4086928631793803]
 ['group' 2.398907885785217]
 ['jack' 2.3416907836298284]
 ['team' 2.3015671593755695]
 ['tells' 2.277913654703642]
 ['time' 2.207725125250053]
 ['friends' 2.1211792043065563]
 ['charlie' 2.1145766257649616]
 ['day' 2.1122848842433632]
 ['finds' 2.0755819225296066]
 ['alex' 2.0683079676448504]
 ['woman' 1.9493927343623243]
 ['home' 1.9051636169290658]]"
2001,601,"[['father' 3.294631686935895]
 ['film' 3.2189957874741153]
 ['family' 3.0576877657032075]
 ['man' 2.8769146345266714]
 ['new' 2.8176081877855443]
 ['life' 2.7497427424752234]
 ['joe' 2.7158622284346996]
 ['tells' 2.6791031517015704]
 ['time' 2.65533793469921]
 ['jimmy' 2.6303377542997395]
 ['school' 2.5719395380482206]
 ['home' 2.5240467456605185]
 ['john' 2.4731123116152]
 ['love' 2.434551340695746]
 ['finds' 2.4110422903070137]
 ['mother' 2.3514525948404397]
 ['house' 2.329096402808684]
 ['jack' 2.3188917089083065]
 ['car' 2.1997201082589912]
 ['girl' 2.1810805237531654]]"
2002,658,"[['film' 3.703497051132468]
 ['new' 3.1357495973139162]
 ['life' 3.102451478085722]
 ['father' 3.0630201895155813]
 ['school' 2.9713615483381024]
 ['mother' 2.848962199763282]
 ['tells' 2.744479552293282]
 ['home' 2.7301648605142215]
 ['time' 2.681861903400976]
 ['man' 2.637010128281983]
 ['family' 2.6250097651712583]
 ['jack' 2.6186010013518937]
 ['finds' 2.490098528839549]
 ['house' 2.4142874489039468]
 ['day' 2.375579322070914]
 ['joe' 2.372787187319022]
 ['wife' 2.3403763649089155]
 ['love' 2.3143234501713197]
 ['friends' 2.2891108412107775]
 ['help' 2.2667587148091575]]"
2003,677,"[['film' 3.895530618068857]
 ['family' 3.7341162728525084]
 ['father' 3.2060876694142255]
 ['new' 3.1990623218566716]
 ['life' 3.198497700600217]
 ['school' 2.9264204988660056]
 ['house' 2.813514821170479]
 ['man' 2.5648309145623456]
 ['john' 2.551098643019128]
 ['mother' 2.534510523739452]
 ['tells' 2.5299039898810847]
 ['time' 2.5191964792804042]
 ['love' 2.499562367180201]
 ['home' 2.4067425001507194]
 ['finds' 2.3740109262644955]
 ['alex' 2.339239997792015]
 ['team' 2.336014197465607]
 ['later' 2.3261342670523155]
 ['story' 2.3092715782825324]
 ['help' 2.253314566657457]]"
2004,766,"[['film' 4.117989780054051]
 ['life' 3.4271702970262536]
 ['new' 3.231469301746854]
 ['man' 3.1623484083732074]
 ['house' 3.1150288663295163]
 ['father' 2.8798867963535897]
 ['family' 2.86956599176717]
 ['mother' 2.861809921903648]
 ['jack' 2.833677368677908]
 ['time' 2.7516857113365223]
 ['tells' 2.7062300360104654]
 ['team' 2.695144746006405]
 ['sam' 2.679309636379092]
 ['finds' 2.6072494783573132]
 ['home' 2.4835085303348023]
 ['day' 2.426712500997741]
 ['friend' 2.3058510344169383]
 ['school' 2.272795316828919]
 ['group' 2.204880852363734]
 ['takes' 2.1874733923898457]]"
2005,897,"[['film' 4.574758196763991]
 ['father' 4.570544077153892]
 ['new' 4.30361462770416]
 ['school' 3.826630690313652]
 ['life' 3.8012119339827897]
 ['mother' 3.7409976701889747]
 ['family' 3.700756800021174]
 ['man' 3.627312157610612]
 ['house' 3.531583276707684]
 ['home' 3.398504589663596]
 ['jack' 3.379537173652787]
 ['time' 3.365448062088412]
 ['friends' 3.3619827043929824]
 ['sarah' 3.256248195719037]
 ['charlie' 3.0470359414928905]
 ['tells' 3.0082017327116133]
 ['finds' 2.990237927374009]
 ['team' 2.9494447369095504]
 ['group' 2.884413893275573]
 ['later' 2.867266399510278]]"
2006,1121,"[['film' 6.474033524037361]
 ['new' 5.0421937521935885]
 ['life' 4.997671251638916]
 ['father' 4.772798333464141]
 ['family' 4.705395375338126]
 ['house' 4.523202270554898]
 ['time' 4.2409857265743875]
 ['home' 4.137344943629441]
 ['man' 4.134065684551337]
 ['friends' 3.95607028219972]
 ['school' 3.902642626699165]
 ['tells' 3.781394675777259]
 ['story' 3.73184277075443]
 ['team' 3.536811136428749]
 ['mother' 3.459537303942155]
 ['world' 3.4424780181479107]
 ['old' 3.4073273222442304]
 ['day' 3.375185727506878]
 ['john' 3.303614107455516]
 ['begins' 3.2838586762732813]]"
2007,1063,"[['film' 5.526458744713743]
 ['life' 4.724687977053205]
 ['family' 4.539530398408995]
 ['father' 4.445645065653401]
 ['new' 4.438164026081372]
 ['man' 4.30165230702366]
 ['mother' 4.200749309717637]
 ['tells' 3.867464146108643]
 ['time' 3.8548026951509518]
 ['house' 3.8459074814796264]
 ['home' 3.7623990873960964]
 ['ben' 3.657079001978615]
 ['school' 3.6502934092927073]
 ['young' 3.5879906425095487]
 ['finds' 3.515958060968608]
 ['car' 3.473625087493335]
 ['old' 3.3117344436432723]
 ['group' 3.2122934258390243]
 ['friends' 3.196322292432803]
 ['tom' 3.192264278026269]]"
2008,1007,"[['film' 6.235555536056484]
 ['father' 5.0345791193572484]
 ['mother' 4.82950103023448]
 ['life' 4.570214956113092]
 ['new' 4.5320573119578444]
 ['family' 4.465355393559384]
 ['school' 4.307342735761945]
 ['man' 4.117573676593438]
 ['finds' 3.7958060505316196]
 ['home' 3.7809828436226316]
 ['tells' 3.7684219035312507]
 ['day' 3.64069088925051]
 ['time' 3.629198427727298]
 ['group' 3.492792112579751]
 ['son' 3.2834853281918197]
 ['house' 3.278112218094405]
 ['later' 3.268904773729425]
 ['begins' 3.1967446298108584]
 ['love' 3.195901830560731]
 ['young' 3.1776886347087876]]"
2009,913,"[['film' 5.362312387970455]
 ['life' 4.768118126019649]
 ['new' 4.316872236993009]
 ['tells' 4.232465729438991]
 ['man' 4.182777873944985]
 ['mother' 4.0808555485969995]
 ['family' 3.9430774471378736]
 ['home' 3.905071596176979]
 ['finds' 3.8485577710087226]
 ['house' 3.8041485565989803]
 ['father' 3.7380245095813747]
 ['david' 3.523832219023579]
 ['school' 3.4961102411485707]
 ['old' 3.4191117566461835]
 ['time' 3.2746000155716444]
 ['help' 3.1164116791316334]
 ['later' 3.0932177884434555]
 ['team' 3.086827019959388]
 ['town' 3.0766547119823366]
 ['group' 3.0549713698647065]]"
2010,709,"[['film' 4.444871312302385]
 ['life' 3.8218700663634566]
 ['father' 3.5386844098908794]
 ['tells' 3.4687207058340124]
 ['man' 3.2359978348835936]
 ['john' 3.2355719625375183]
 ['new' 3.1980409801947327]
 ['family' 3.0992555778601174]
 ['school' 3.0008563852495356]
 ['mother' 2.9856398582299413]
 ['home' 2.9739188102795575]
 ['sam' 2.818339382455409]
 ['house' 2.814433563199469]
 ['night' 2.786803297933435]
 ['group' 2.761863372378494]
 ['later' 2.7356336026714416]
 ['day' 2.714432105447507]
 ['friends' 2.644635660446798]
 ['finds' 2.6142918270052484]
 ['police' 2.5199943169877863]]"
2011,569,"[['father' 3.5979362451863874]
 ['film' 3.475634173779353]
 ['life' 3.1237537835855314]
 ['family' 3.0527255687207036]
 ['new' 2.9380988519340376]
 ['tells' 2.8870352827035424]
 ['mother' 2.5399281287537354]
 ['time' 2.51875186602219]
 ['man' 2.4753244866990003]
 ['home' 2.4622713349573657]
 ['house' 2.4075625676708823]
 ['school' 2.348309728547738]
 ['later' 2.214136477166498]
 ['finds' 2.212378349809755]
 ['story' 2.1688955938953103]
 ['old' 2.098195404555548]
 ['love' 2.0955041750774837]
 ['day' 2.0678008193280633]
 ['son' 2.0582188057941133]
 ['car' 2.05713185401875]]"
2012,389,"[['film' 2.3030847575932363]
 ['man' 2.149656748376184]
 ['new' 1.98022526019877]
 ['family' 1.8548942832254478]
 ['finds' 1.8334027802162343]
 ['tells' 1.7948965751710404]
 ['group' 1.7880102626224532]
 ['house' 1.776212038077513]
 ['father' 1.7092559446301467]
 ['mother' 1.6905049791657396]
 ['time' 1.6720085836215113]
 ['life' 1.5908209390072516]
 ['friends' 1.5838385713625287]
 ['help' 1.5788146396975926]
 ['alex' 1.5459526380812123]
 ['story' 1.53541740804793]
 ['ben' 1.5236930786263552]
 ['school' 1.5093993536855488]
 ['town' 1.4914648827068562]
 ['young' 1.4719126966203993]]"
2013,96,"[['film' 0.9801048983037147]
 ['cite' 0.738123358876655]
 ['web' 0.679522816405914]
 ['cite web' 0.679522816405914]
 ['story' 0.6590793999634225]
 ['new' 0.5962758435575327]
 ['world' 0.5772167119553201]
 ['family' 0.5695401451571744]
 ['battle' 0.5357342798712293]
 ['son' 0.49019679277244477]
 ['earth' 0.474352660995425]
 ['years' 0.4694726650446358]
 ['2012' 0.46612671926665106]
 ['group' 0.43066064441636187]
 ['los angeles' 0.4297225229815077]
 ['los' 0.4297225229815077]
 ['angeles' 0.4297225229815077]
 ['face' 0.4267602212431004]
 ['tells' 0.4110536503650448]
 ['city' 0.406811961114374]]"
2014,4,"[['noah' 0.293460825682016]
 ['earth' 0.13236497245232337]
 ['angels' 0.09782027522733867]
 ['saved' 0.09782027522733867]
 ['giant armed' 0.09782027522733867]
 ['giant' 0.09782027522733867]
 ['foretelling end world' 0.09782027522733867]
 ['foretelling end' 0.09782027522733867]
 ['foretelling' 0.09782027522733867]
 ['fend wilderness noah' 0.09782027522733867]
 ['fend wilderness' 0.09782027522733867]
 ['fend' 0.09782027522733867]
 ['family cast fend' 0.09782027522733867]
 ['family cast' 0.09782027522733867]
 ['family' 0.09782027522733867]
 ['saved listens' 0.09782027522733867]
 ['subject divine visions' 0.09782027522733867]
 ['saved listens warnings' 0.09782027522733867]
 ['end world noah' 0.09782027522733867]
 ['end world' 0.09782027522733867]]"
2015,2,
2016,2,
